City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Lewiston,US,75.85,broken clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
312,Lagoa,PT,72.55,clear sky,39.05,-27.9833,Casa Das Faias
314,Kavaratti,IN,82.38,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
315,Pemberton,CA,84.2,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
316,Bubaque,GW,78.19,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
320,Kailua,US,76.98,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
326,Homnabad,IN,75.04,overcast clouds,17.7667,77.1333,Marthand Vilas
330,Dauphin,CA,77.14,clear sky,51.1494,-100.0502,Canway Inn & Suites
332,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
336,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
337,Bandarbeyla,SO,78.21,few clouds,9.4942,50.8122,JABIR HOTEL
338,Quang Ngai,VN,79.07,overcast clouds,15.1167,108.8,Central Hotel
340,Mitsamiouli,KM,76.96,few clouds,-11.3847,43.2844,Foyer ADM
341,Tagusao,PH,82.2,overcast clouds,9.1924,117.8141,Toledo
342,Harper,LR,80.04,broken clouds,4.375,-7.7169,Screensaver
343,Casablanca,MA,79.02,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
344,Muros,ES,76.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
348,Lorengau,PG,81.1,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
351,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
354,Banda Aceh,ID,80.19,overcast clouds,5.5577,95.3222,Sulthan Hotel International
355,Bela Vista De Goias,BR,81.75,clear sky,-16.9728,-48.9533,Victoria Palace Hotel
357,Chake Chake,TZ,73.9,scattered clouds,-5.2459,39.7666,Hotel Archipelago
358,Puerto Rico,AR,73.06,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
359,Randolph,US,84.38,clear sky,35.7001,-79.8164,Hampton Inn Asheboro
