City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Saint George,US,37.1041,-113.5841,90.36,37,0,1.01,clear sky
257,Mangrol,IN,21.1167,70.1167,81.91,81,100,20.27,overcast clouds
258,Saint-Philippe,RE,-21.3585,55.7679,66.22,75,47,5.5,scattered clouds
259,Filingue,NE,14.3521,3.3168,95.09,36,98,8.48,overcast clouds
260,Waingapu,ID,-9.6567,120.2641,75.42,86,76,8.32,broken clouds
261,Sandnessjoen,NO,66.0217,12.6316,55.92,82,75,5.75,broken clouds
262,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,68,40,8.05,scattered clouds
263,Mayo,US,38.8876,-76.5119,80.33,61,20,1.99,few clouds
264,Crateus,BR,-5.1783,-40.6775,93.15,22,32,6.96,scattered clouds
265,Myitkyina,MM,25.3833,97.4,74.95,98,9,0.49,clear sky
266,Obala,CM,4.1667,11.5333,74.12,85,76,5.97,light rain
267,Walvis Bay,NA,-22.9575,14.5053,85.15,23,0,5.75,clear sky
268,Rodrigues Alves,BR,-7.738,-72.6509,84.4,28,3,5.39,clear sky
269,Ternate,ID,0.8,127.4,81.55,76,46,7.43,scattered clouds
270,Cidreira,BR,-30.1811,-50.2056,60.66,68,19,9.46,few clouds
271,Kaitangata,NZ,-46.2817,169.8464,48.92,68,100,12.55,overcast clouds
272,Hermosillo,MX,29.0667,-110.9667,95.29,44,4,11.99,clear sky
273,Kabare,CD,-2.4683,28.8242,66.88,58,66,0.31,broken clouds
274,Saryozek,KZ,44.3583,77.9753,75.7,19,100,6.29,overcast clouds
275,Meulaboh,ID,4.1363,96.1285,77.36,81,88,4.59,overcast clouds
276,Svetlogorsk,BY,52.6333,29.7333,64.33,81,61,14.32,broken clouds
277,Rach Gia,VN,10.0167,105.0833,82.54,81,100,16.37,overcast clouds
278,Telma,RU,52.6983,103.7097,60.01,97,100,8.57,light rain
279,Alyangula,AU,-13.8483,136.4192,66.07,100,6,1.14,clear sky
280,Namatanai,PG,-3.6667,152.4333,78.22,84,16,7.05,few clouds
281,Sarapulka,RU,56.8678,61.0552,66.02,70,88,5.17,overcast clouds
282,Morondava,MG,-20.2833,44.2833,74.26,67,16,13.69,few clouds
283,Kruisfontein,ZA,-34.0033,24.7314,55.89,93,49,9.33,scattered clouds
284,Wilmington,US,34.2257,-77.9447,87.96,77,1,4.61,clear sky
285,Constitucion,CL,-35.3333,-72.4167,61.92,52,0,12.44,clear sky
286,Yumen,CN,40.2833,97.2,70.48,18,32,8.63,scattered clouds
287,Sungaipenuh,ID,-2.0833,101.3833,64.74,96,90,1.68,overcast clouds
288,Haines Junction,CA,60.7522,-137.5108,53.55,82,83,3.44,broken clouds
289,Akaltara,IN,22.0167,82.4333,78.93,79,33,9.13,scattered clouds
290,Lamballe,FR,48.4676,-2.5144,64.08,80,94,9.33,light rain
291,Evensk,RU,61.95,159.2333,40.01,74,49,10.29,scattered clouds
292,Hambantota,LK,6.1241,81.1185,79.48,80,100,19.08,overcast clouds
293,Lipari,IT,38.4674,14.954,86.14,72,2,9.55,clear sky
294,Salinopolis,BR,-0.6136,-47.3561,83.46,63,72,8.55,broken clouds
295,Havoysund,NO,70.9963,24.6622,54.48,81,34,25.86,scattered clouds
296,Novopokrovskaya,RU,45.9514,40.7006,85.57,37,57,8.61,broken clouds
297,Salalah,OM,17.0151,54.0924,76.24,94,100,3.94,overcast clouds
298,Arroio Grande,BR,-32.2375,-53.0869,60.89,65,7,5.86,clear sky
299,Hofn,IS,64.2539,-15.2082,53.62,87,90,10.36,mist
300,Taiyuan,CN,37.8694,112.5603,73.26,64,0,13.42,clear sky
301,Turukhansk,RU,65.8167,87.9833,66.22,61,100,9.48,overcast clouds
302,Rondonopolis,BR,-16.4708,-54.6356,94.6,15,7,1.43,clear sky
303,Saldanha,ZA,-33.0117,17.9442,58.33,80,0,9.55,clear sky
304,Faanui,PF,-16.4833,-151.75,79.59,66,91,12.66,overcast clouds
305,Lafia,NG,8.4833,8.5167,78.93,86,99,5.55,light rain
306,Cabo San Lucas,MX,22.8909,-109.9124,92.8,62,48,5.1,scattered clouds
307,Nieuwpoort,BE,51.1244,2.7735,70.54,55,40,8.05,scattered clouds
308,Pochutla,MX,15.7432,-96.4661,90.82,54,95,4.97,overcast clouds
309,Wyndham,US,37.6985,-77.6125,83.21,54,1,1.99,clear sky
310,Berdigestyakh,RU,62.0989,126.6992,59.5,74,100,1.01,overcast clouds
311,Lewiston,US,44.1003,-70.2148,75.85,69,75,12.66,broken clouds
